Pernyataan,Mengingat,Memahami,Menerapkan,
,C1,C2,C3
1,0.169,0.223,0.179,
2,0.169,0.223,0.179,
3,0.507,0.223,0.179,
4,0.169,0.223,0.179,
5,0.169,0.223,0.179,
6,0.169,0.223,0.179,
7,0,0,0.179,
8,0.169,0,0.179,
9,0.169,0.223,0.179,
10,0.169,0.223,0.179,
11,0,0.223,0.179,
12,0.169,0.223,0.179,
13,0.169,0.223,0.179,
14,0.169,0.223,0.179,
15,0.169,0,0.179,
16,0.169,0.223,0.179,
17,0.169,0,0.179,
18,0.169,0.223,0.179,
19,0.169,0.223,0.179,
20,0.169,0.223,0.179,
21,0.169,0.223,0.179,
22,0.169,0.223,0.179,
23,0.169,0.223,0.179,
24,0.169,0.223,0.179,
25,0.169,0,0.179,
26,0.169,0,0.179,
27,0.169,0,0.359,
28,0.169,0,0.179,
29,0.169,0,
