Pernyataan,Kalimat
Mengingat,Mengutip 
Mengingat,Menyebutkan
Mengingat,Menjelaskan
Mengingat,Menggambar 
Mengingat,Membilang 
Mengingat,Mengidentifikasi 
Mengingat,Mendaftar 
Mengingat,Menunjukkan 
Mengingat,Memberi label 
Mengingat,Memberi indeks 
Mengingat,Memasangkan 
Mengingat,Menamai 
Mengingat,Manandai 
Mengingat,Membaca 
Mengingat,Menyadari 
Mengingat,Menghafal 
Mengingat,Meniru 
Mengingat,Mencatat 
Mengingat,Mengulang 
Mengingat,Mereproduksi 
Mengingat,Meninjau 
Mengingat,Memilih 
Mengingat,Menyatakan 
Mengingat,Mempelajari 
Mengingat,Mentabulasi 
Mengingat,Memberi kode 
Mengingat,Menelusuri 
Mengingat,Menulis 
Memahami,Memperkirakan
Memahami,Menjelaskan
Memahami,Mengkategorikan
Memahami,Mencirikan
Memahami,Merinci
Memahami,Mengasosiasikan
Memahami,Membandingkan
Memahami,Menghitung
Memahami,Mengkontraskan
Memahami,Mengubah
Memahami,Mempertahankan
Memahami,Menguraikan
Memahami,Menjalin
Memahami,Membedakan
Memahami,Mendiskusikan
Memahami,Menggali
Memahami,Mencontohkan
Memahami,Menerangkan
Memahami,Mengemukakan
Memahami,Mempolakan
Memahami,Memperluas
Memahami,Menyimpulkan
Memahami,Meramalkan
Memahami,Merangkum
Memahami,Menjabarkan
Menerapkan,Menugaskan
Menerapkan,Mengurutkan
Menerapkan,Menentukan
Menerapkan,Menerapkan
Menerapkan,Menyesuaikan
Menerapkan,Mengkalkulasi
Menerapkan,Memodifikasi
Menerapkan,Mengklasifikasi
Menerapkan,Menghitung
Menerapkan,Membangun
Menerapkan,Mengurutkan
Menerapkan,Membiasakan
Menerapkan,Mencegah
Menerapkan,Menggambarkan
Menerapkan,Menggunakan
Menerapkan,Menilai
Menerapkan,Melatih
Menerapkan,Menggali
Menerapkan,Mengemukakan
Menerapkan,Mengadaptasi
Menerapkan,Menyelidiki
Menerapkan,Mengoperasikan
Menerapkan,Mempersoalkan
Menerapkan,Mengkonsepkan
Menerapkan,Melaksanakan
Menerapkan,Meramalkan
Menerapkan,Memproduksi
Menerapkan,Memproses
Menerapkan,Mengaitkan
Menerapkan,Menyusun
Menerapkan,Mensimulasikan
Menerapkan,Memecahkan
Menerapkan,Melakukan
Menerapkan,Mentabulasi
Menerapkan,Siswa dapat memproduksi konten secara menarik 
Menerapkan,Siswa dapat mengilustrasikan beberapa objek secara menarik 
Menerapkan,Siswa dapat menganalisis konten yang menarik bagi audience
Menerapkan,Siswa dapat mengedit konten caraousel dengan baik
Menerapkan,Siswa dapat menyusun konten secara terstruktur
Memahami,Siswa dapat menjelaskan kembali materi yang telah dipelajari
Memahami,Siswa dapat memodifikasi karya dengan baik akan tetapi Siswa belum dapat menentukan warna dengan baik
Mengingat,Siswa belum dapat mengidentifikasi market yang tepat
Mengingat,Siswa dapat mengidentifikasi teknik dasar fotografi
Mengingat,Siswa dapat memilih angel yang tepat dalam fotografi
Memahami,Siswa dapat mengemukakan pendapatnya terhadap angel yang tepat dalam fotografi
Menerapkan,Siswa dapat mengoperasikan kamera dengan baik
Memahami,Siswa dapat menyimpulkan inti dari materi yang dipelajari
Menerapkan,Siswa dapat menggambarkan pose yang menarik dalam fotografi
Menerapkan,Siswa dapat menentukan ISO yang baik pada kamera
Mengingat,Siswa dapat menulis dan membaca huruf hiragana katakana dan kanji
Menerapkan,Siswa dapat menyusun kalimat dalam bahasa jepang 
Menerapkan,Siswa dapat melakukan perkenalan diri dengan bahasa jepang
Memahami,Siswa dapat membedakan pola kalimat dasar dalam bahasa jepang
Memahami,Siswa dapat membandingkan kata sifat dan kata kerja dalam bahasa jepang
Memahami,Siswa dapat mencontohkan salah satu bentuk kalimat dasar dalam bahasa jepang
Memahami,Siswa dapat memodifikasi bentuk kalimat dengan baik 
Mengingat,Siswa belum dapat menghafal huruf hiragana katakana dan kanji
Mengingat,Siswa dapat mengidentifikasi bentuk kalimat dasar dengan baik
Mengingat,Siswa dapat memilih pola kalimat dengan benar
Memahami,Siswa dapat menerangkan bagaimana cara membuat pola kalimat yang baik
Memahami,Siswa dapat mengkategorikan partikel di bahasa jepang
Memahami,Siswa dapat menyimpulkan inti dari materi yang tealah dipelajari
Menerapkan,Siswa dapat menentukan partikel yang benar dalam bahasa jepang
Menerapkan,Siswa dapat menggunakan bahasa jepang dalam meminta ijin ke kamar mandi
Memahami,Siswa dapat menjelaskan maksud dari algoritma suatu pemrograman 
Menerapkan,Siswa dapat menggambarkan algoritma dari sistem yang akan dibuat
Menerapkan,Siswa dapat menganalisis algoritma dari suatu pemrograman
Menerapkan,Siswa dapat mengedit algoritma suatu sistem 
Menerapkan,Siswa dapat menyusun algoritma dalam sebuah sistem
Menerapkan,Siswa dapat membangun sebuah sistem sederhana
Memahami,Siswa dapat memodifikasi sebuah sistem sederhaan 
Mengingat,Siswa belum dapat mengidentifikasi sebuah sistem sederhana
Memahami,Siswa dapat menjelaskan alur dari flowchart
Memahami,Siswa dapat menyimpulkan sebuah flowchart
Mengingat,Siswa dapat meniru kodingan yang diberikan
Memahami,Siswa dapat menjabarkan fungsi dari sebuah kodingan
Memahami,Siswa dapat menyimpulkan fungsi dari sebuah sistem 
Menerapkan,Siswa dapat memodifikasi sebuah kodingan
Menerapkan,Siswa dapat melaksanakan apa yang diperintah oleh guru dengan baik
