Id,C1,C2,C3,Pernyataan
1,0.169,0,0,mengingat
2,0.169,0,0,mengingat
3,0.507,0,0,mengingat
4,0.169,0,0,mengingat
5,0.169,0,0,mengingat
6,0.169,0,0,mengingat
7,0,0,0,mengingat
8,0.169,0,0,mengingat
9,0.169,0,0,mengingat
10,0.169,0,0,mengingat
11,0,0,0,mengingat
12,0.169,0,0,mengingat
13,0.169,0,0,mengingat
14,0.169,0,0,mengingat
15,0.169,0,0,mengingat
169,0.169,0,0,mengingat
179,0.169,0,0,mengingat
18,0.169,0,0,mengingat
19,0.169,0,0,mengingat
20,0.169,0,0,mengingat
21,0.169,0,0,mengingat
223,0.169,0,0,mengingat
23,0.169,0,0,mengingat
24,0.169,0,0,mengingat
25,0.169,0,0,mengingat
26,0.169,0,0,mengingat
27,0.169,0,0,mengingat
28,0.169,0,0,mengingat
29,0.169,0,0,mengingat
30,0,0.2233,0,memahami
31,0,0.223,0,memahami
32,0,0.223,0,memahami
33,0,0.223,0,memahami
34,0,0.223,0,memahami
35,0,0.223,0,memahami
36,0,0,0,memahami
37,0,0,0,memahami
38,0,0.223,0,memahami
39,0,0.223,0,memahami
40,0,0.223,0,memahami
41,0,0.223,0,memahami
42,0,0.223,0,memahami
43,0,0.223,0,memahami
44,0,0,0,memahami
45,0,0.223,0,memahami
46,0,0,0,memahami
47,0,0.223,0,memahami
48,0,0.223,0,memahami
49,0,0.223,0,memahami
50,0,0.223,0,memahami
51,0,0.223,0,memahami
52,0,0.223,0,memahami
53,0,0.223,0,memahami
54,0,0,0.179,menerapkan
55,0,0,0.179,menerapkan
56,0,0,0.179,menerapkan
57,0,0,0.179,menerapkan
58,0,0,0.179,menerapkan
59,0,0,0.179,menerapkan
60,0,0,0.179,menerapkan
61,0,0,0.179,menerapkan
62,0,0,0.179,menerapkan
63,0,0,0.179,menerapkan
64,0,0,0.179,menerapkan
65,0,0,0.179,menerapkan
66,0,0,0.179,menerapkan
67,0,0,0.179,menerapkan
68,0,0,0.179,menerapkan
69,0,0,0.179,menerapkan
70,0,0,0.179,menerapkan
71,,0,0,0.179,menerapkan
72,0,0,0.179,menerapkan
73,0,0,0.179,menerapkan
74,0,0,0.179,menerapkan
75,0,0,0.179,menerapkan
76,0,0,0.179,menerapkan
77,0,0,0.179,menerapkan
78,0,0,0.179,menerapkan
79,0,0,0.179,menerapkan
80,0,0,0.359,menerapkan
81,0,0,0.179,menerapkan
